Date,Name,Year,Letterboxd URI
2023-08-02,Children of Men,2006,https://boxd.it/1Y2i
2023-08-30,Sound of Metal,2019,https://boxd.it/i7Q4
2023-09-10,Bridge of Spies,2015,https://boxd.it/9n9C
2023-09-10,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY
2023-09-29,Life of Pi,2012,https://boxd.it/37pC
2023-10-18,Loving Vincent,2017,https://boxd.it/biIQ
2023-10-20,The Fighter,2010,https://boxd.it/PP4
2023-10-20,Into the Wild,2007,https://boxd.it/22m2
2023-10-20,In the Name of the Father,1993,https://boxd.it/20I6
2023-10-20,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2023-10-20,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2023-10-20,The Last of the Mohicans,1992,https://boxd.it/1YSo
2023-10-20,All About Eve,1950,https://boxd.it/29LI
2023-10-22,Little Women,2019,https://boxd.it/aSVk
2023-10-25,The Great Race,1965,https://boxd.it/1TvY
2023-10-25,Chaplin,1992,https://boxd.it/1WgW
2023-10-25,Men of Boys Town,1941,https://boxd.it/3z9s
2023-10-26,White Christmas,1954,https://boxd.it/1Qky
2023-10-26,Angels with Dirty Faces,1938,https://boxd.it/1PBI
2023-10-26,The Walking Dead,1936,https://boxd.it/1svs
2023-10-26,Mildred Pierce,1945,https://boxd.it/25uS
2023-10-27,Aliens,1986,https://boxd.it/29PA
2023-10-29,Red River,1948,https://boxd.it/25Lu
2023-11-08,The Alpinist,2021,https://boxd.it/psEM
2023-11-12,Treasure Island,1950,https://boxd.it/21qs
2023-11-12,It's a Wonderful Life,1946,https://boxd.it/28xA
2023-11-12,Empire of the Sun,1987,https://boxd.it/1X4i
2023-11-12,The Walk,2015,https://boxd.it/8Rao
2023-11-12,Casualties of War,1989,https://boxd.it/1WZ8
2023-11-12,Munich,2005,https://boxd.it/2a0e
2023-11-12,Amistad,1997,https://boxd.it/1SZ4
2023-11-12,War Horse,2011,https://boxd.it/nf8
2023-11-12,Duel,1971,https://boxd.it/29ui
2023-11-12,The Color Purple,1985,https://boxd.it/29oO
2023-11-12,Contact,1997,https://boxd.it/29OM
2023-11-12,The Jerk,1979,https://boxd.it/21EO
2023-11-12,When Harry Met Sally...,1989,https://boxd.it/29W2
2023-11-12,Deep Impact,1998,https://boxd.it/1ZYM
2023-11-12,Crazy Heart,2009,https://boxd.it/1wds
2023-11-12,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS
2023-11-13,Predator,1987,https://boxd.it/2b84
2023-11-13,Grown Ups,2010,https://boxd.it/169a
2023-11-13,Hitch,2005,https://boxd.it/205o
2023-11-16,Beautiful Boy,2018,https://boxd.it/g76Q
2023-11-16,Manchester by the Sea,2016,https://boxd.it/b2L0
2023-11-16,Moneyball,2011,https://boxd.it/glS
2023-11-16,The Next Three Days,2010,https://boxd.it/UdE
